state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
al,ho3,8/20/2018,Agent,8,8,7,1,0.125
al,ho3,8/20/2018,Online,25,12,2,0,0
al,ho3,8/21/2018,Agent,6,6,6,1,0.166666667
al,ho3,8/21/2018,Online,23,17,1,0,0
al,ho3,8/22/2018,Agent,10,10,7,1,0.1
al,ho3,8/22/2018,Online,38,22,3,0,0
al,ho3,8/23/2018,Agent,6,6,3,0,0
al,ho3,8/23/2018,Online,20,6,1,1,0.05
al,ho3,8/24/2018,Agent,6,6,3,0,0
al,ho3,8/24/2018,Online,8,5,1,0,0
al,ho3,8/25/2018,Agent,3,2,2,1,0.333333333
al,ho3,8/25/2018,Online,17,10,4,1,0.058823529
al,ho3,8/26/2018,Agent,4,4,3,0,0
al,ho3,8/26/2018,Online,15,8,2,1,0.066666667
al,ho3,8/27/2018,Agent,3,2,2,0,0
al,ho3,8/27/2018,Online,17,10,1,0,0
al,ho3,8/28/2018,Agent,4,4,3,0,0
al,ho3,8/28/2018,Online,19,9,0,0,0
al,ho3,8/29/2018,Agent,4,3,3,1,0.25
al,ho3,8/29/2018,Online,23,16,4,2,0.086956522
al,ho3,8/30/2018,Agent,8,8,6,1,0.125
al,ho3,8/30/2018,Online,16,12,2,0,0
al,ho3,8/31/2018,Agent,5,5,3,1,0.2
al,ho3,8/31/2018,Online,14,10,2,1,0.071428571
al,ho3,9/1/2018,Agent,2,2,2,0,0
al,ho3,9/1/2018,Online,7,5,1,1,0.142857143
al,ho3,9/2/2018,Agent,5,5,5,0,0
al,ho3,9/2/2018,Online,15,8,1,0,0
al,ho3,9/3/2018,Agent,5,5,5,1,0.2
al,ho3,9/3/2018,Online,9,7,2,1,0.111111111
al,ho3,9/4/2018,Agent,7,6,5,0,0
al,ho3,9/4/2018,Online,20,8,2,1,0.05
al,ho3,9/5/2018,Agent,4,3,3,0,0
al,ho3,9/5/2018,Online,35,14,2,1,0.028571429
al,ho3,9/6/2018,Agent,5,5,5,1,0.2
al,ho3,9/6/2018,Online,21,14,3,0,0
al,ho3,9/7/2018,Agent,5,5,4,2,0.4
al,ho3,9/7/2018,Online,14,10,3,1,0.071428571
al,ho3,9/8/2018,Agent,2,2,2,1,0.5
al,ho3,9/8/2018,Online,14,11,3,1,0.071428571
al,ho3,9/9/2018,Agent,2,2,2,0,0
al,ho3,9/9/2018,Online,15,12,5,2,0.133333333
al,ho3,9/10/2018,Agent,7,7,6,1,0.142857143
al,ho3,9/10/2018,Online,23,14,4,1,0.043478261
al,ho3,9/11/2018,Agent,3,3,3,1,0.333333333
al,ho3,9/11/2018,Online,23,15,4,1,0.043478261
al,ho3,9/12/2018,Agent,4,4,4,2,0.5
al,ho3,9/12/2018,Online,21,11,3,1,0.047619048
al,ho3,9/13/2018,Agent,5,5,5,0,0
al,ho3,9/13/2018,Online,20,15,5,2,0.1
al,ho3,9/14/2018,Agent,3,3,3,0,0
al,ho3,9/14/2018,Online,11,6,0,0,0
al,ho3,9/15/2018,Agent,2,2,2,0,0
al,ho3,9/15/2018,Online,11,7,0,0,0
al,ho3,9/16/2018,Agent,4,4,4,0,0
al,ho3,9/16/2018,Online,10,7,1,0,0
al,ho3,9/17/2018,Agent,2,2,2,0,0
al,ho3,9/17/2018,Online,12,10,4,0,0
al,ho3,9/18/2018,Agent,6,6,6,1,0.166666667
al,ho3,9/18/2018,Online,17,13,0,0,0
al,ho3,9/19/2018,Agent,10,10,8,0,0
al,ho3,9/19/2018,Online,18,12,1,1,0.055555556
al,ho3,9/20/2018,Agent,12,10,8,0,0
al,ho3,9/20/2018,Online,20,10,2,1,0.05
al,ho3,9/21/2018,Agent,7,7,6,1,0.142857143
al,ho3,9/21/2018,Online,11,5,4,1,0.090909091
al,ho3,9/22/2018,Agent,1,1,1,0,0
al,ho3,9/22/2018,Online,12,8,0,0,0
al,ho3,9/23/2018,Agent,1,1,1,0,0
al,ho3,9/23/2018,Online,8,3,2,0,0
al,ho3,9/24/2018,Agent,3,3,2,1,0.333333333
al,ho3,9/24/2018,Online,11,9,2,1,0.090909091
al,ho3,9/25/2018,Agent,6,5,5,2,0.333333333
al,ho3,9/25/2018,Online,22,17,2,0,0
al,ho3,9/26/2018,Agent,6,6,4,1,0.166666667
al,ho3,9/26/2018,Online,20,16,3,0,0
al,ho3,9/27/2018,Agent,3,2,2,0,0
al,ho3,9/27/2018,Online,11,6,1,0,0
al,ho3,9/28/2018,Agent,6,6,5,0,0
al,ho3,9/28/2018,Online,24,19,5,1,0.041666667
al,ho3,9/29/2018,Agent,3,3,1,0,0
al,ho3,9/29/2018,Online,13,11,4,0,0
al,ho3,9/30/2018,Agent,3,2,2,0,0
al,ho3,9/30/2018,Online,17,14,2,2,0.117647059
az,ho3,7/1/2018,Agent,1,0,0,0,0
az,ho3,7/1/2018,Online,10,6,2,0,0
az,ho6,7/1/2018,Online,1,0,0,0,0
az,ho3,7/2/2018,Agent,1,1,1,0,0
az,ho3,7/2/2018,Online,10,3,0,0,0
az,ho6,7/2/2018,Online,1,0,0,0,0
az,ho3,7/3/2018,Agent,1,1,1,0,0
az,ho3,7/3/2018,Online,11,5,2,0,0
az,ho6,7/3/2018,Online,1,1,1,0,0
az,ho3,7/4/2018,Agent,0,0,0,0,0
az,ho3,7/4/2018,Online,9,6,2,0,0
az,ho6,7/4/2018,Online,1,0,0,0,0
az,ho3,7/5/2018,Online,13,6,3,0,0
az,ho6,7/5/2018,Online,3,3,0,0,0
az,ho3,7/6/2018,Online,11,7,2,0,0
az,ho6,7/6/2018,Online,3,2,1,0,0
az,ho3,7/7/2018,Agent,1,1,0,0,0
az,ho3,7/7/2018,Online,9,4,2,1,0.111111111
az,ho6,7/7/2018,Online,2,2,0,0,0
az,ho3,7/8/2018,Online,6,3,3,0,0
az,ho3,7/9/2018,Online,15,11,4,1,0.066666667
az,ho3,7/10/2018,Agent,2,1,0,0,0
az,ho3,7/10/2018,Online,16,11,4,1,0.0625
az,ho6,7/10/2018,Agent,2,1,1,2,1
az,ho6,7/10/2018,Online,4,3,3,0,0
az,ho3,7/11/2018,Agent,1,1,1,0,0
az,ho3,7/11/2018,Online,6,5,2,0,0
az,ho6,7/11/2018,Online,1,1,0,0,0
az,ho3,7/12/2018,Agent,1,1,1,0,0
az,ho3,7/12/2018,Online,14,6,2,1,0.071428571
az,ho6,7/12/2018,Online,3,1,0,0,0
az,ho3,7/13/2018,Online,10,5,2,1,0.1
az,ho6,7/13/2018,Online,0,0,0,0,0
az,ho3,7/14/2018,Online,10,6,2,0,0
